url,obtainable_from,old_first_status,old_final_status,new_status,kind,wayback_first_200,wayback_last_200,linked_from_new_pages,note
/2013/member/show/2bed3bd6-e15f-11e2-8f00-96816aeab6a4,wayback-only,404,404,404,/2013/member/show/UUID,20131226,20131226,12,
/2013/member/show/374bb0ca-e236-11e2-8767-0fa16aeab6a4,wayback-only,404,404,404,/2013/member/show/UUID,20130923,20130923,13,
/2013/member/show/42fa605e-b23b-11e2-b224-5e5c6aeab6a4,wayback-only,404,404,404,/2013/member/show/UUID,20130617,20130817,53,
/2013/member/show/554073a8-c69e-11e2-80df-039a6aeab6a4,wayback-only,404,404,404,/2013/member/show/UUID,20130702,20130702,14,
/2013/member/show/661ad47a-c69e-11e2-80df-039a6aeab6a4,wayback-only,404,404,404,/2013/member/show/UUID,20130709,20130923,20,
/2013/member/show/6aca2af2-ead4-11e2-ba88-5f716aeab6a4,wayback-only,404,404,404,/2013/member/show/UUID,20130726,20130726,,
/2013/member/show/908b71a6-c69e-11e2-80df-039a6aeab6a4,wayback-only,404,404,404,/2013/member/show/UUID,20130629,20130629,10,
/2013/member/show/90c697e8-eae0-11e2-ba88-5f716aeab6a4,wayback-only,404,404,404,/2013/member/show/UUID,20130718,20130718,13,
/2013/member/show/c836d440-c9cf-11e2-8893-6cac6aeab6a4,wayback-only,404,404,404,/2013/member/show/UUID,20130925,20130925,15,
/2013/member/show/ccbbf91a-c8c0-11e2-a1f8-59856aeab6a4,wayback-only,404,404,404,/2013/member/show/UUID,20130915,20130915,,
/2013/member/show/d0750ad2-e194-11e2-8767-0fa16aeab6a4,wayback-only,404,404,404,/2013/member/show/UUID,20130923,20130923,12,
/2013/member/show/d73b797e-c852-11e2-a1f8-59856aeab6a4,wayback-only,404,404,404,/2013/member/show/UUID,20130705,20130817,12,
/2013/member/show/f7602b82-d950-11e2-971a-72936aeab6a4,wayback-only,404,404,404,/2013/member/show/UUID,20140802,20140802,12,
/2013/notices/complete,wayback-only,404,404,404,/2013/notices/complete,20130321,20130321,,
/2013/notices/subscribe,wayback-only,404,404,404,/2013/notices/subscribe,20130305,20130522,8,
/2013/talk/schedule,wayback-only,404,404,404,/2013/talk/schedule,20251126,20251126,,
/2013/talk/show/04562cd0-c8e7-11e2-8893-6cac6aeab6a4,old-server,200,200,404,/2013/talk/show/UUID,20130923,20130923,,
/2013/talk/show/35169ea4-c8c4-11e2-a1f8-59856aeab6a4,wayback-only,404,404,404,/2013/talk/show/UUID,20130914,20130914,,
/2013/talk/show/526e0c64-eadc-11e2-ba88-5f716aeab6a4,wayback-only,404,404,404,/2013/talk/show/UUID,20130725,20130725,,
/2013/talk/show/642035d4-eafc-11e2-ba88-5f716aeab6a4,wayback-only,404,404,404,/2013/talk/show/UUID,20140930,20140930,,
/2013/talk/show/7baa4246-c6ba-11e2-80df-039a6aeab6a4,old-server,200,200,404,/2013/talk/show/UUID,20131002,20131002,,
/2013/talk/show/b3cd7e88-daef-11e2-8f00-96816aeab6a4,old-server,200,200,404,/2013/talk/show/UUID,20130701,20130701,,
/2013/talk/show/f023c72c-dfd4-11e2-8f00-96816aeab6a4,old-server,200,200,404,/2013/talk/show/UUID,20131112,20230529,,
/2014/auth,old-server,200,200,404,/2014/auth,,,,認証・投稿系(動的)
/2014/auth/,old-server,200,200,404,/2014/auth/,,,,認証・投稿系(動的)
/2014/event/input,old-server,302,200,404,/2014/event/input,,,5,認証・投稿系(動的)
/2014/individual_sponsors,wayback-only,500,500,404,/2014/individual_sponsors,20140827,20140827,,
/2014/individual_sponsors/,wayback-only,500,500,404,/2014/individual_sponsors/,20140608,20140927,571,
/2014/login,old-server,200,200,404,/2014/login,20140606,20180406,,認証・投稿系(動的)
/2014/logout,old-server,302,200,404,/2014/logout,,,,認証・投稿系(動的)
/2014/member,old-server,302,200,404,/2014/member,,,,認証・投稿系(動的)
/2014/member/,old-server,302,200,404,/2014/member/,,,14,認証・投稿系(動的)
/2014/member/index.html,old-server,302,200,404,/2014/member/*.html,,,557,認証・投稿系(動的)
/2014/member/show/24fd899c-ebf5-11e3-bd6d-c7a06aeab6a4,old-server,200,200,404,/2014/member/show/UUID,20140608,20140608,,
